"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"获取id508账号成功","142","test_get_user_information_success[test_get_user_information_success_03]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户llc账号成功","133","test_create_user_success[test_create_user_success_01]","testcases","2026-09-09","failed","2026-09-09","TestAllCase","test_all_case","",""
"获取id'511'账号成功","118","test_change_user_information_success[test_get_user_information_fail_06]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id513账号成功","152","test_get_user_information_success[test_get_user_information_success_08]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id690账号成功","130","test_change_user_information_success[test_get_user_information_fail_08]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户wdf账号成功","143","test_create_user_success[test_create_user_success_03]","testcases","2026-09-09","failed","2026-09-09","TestAllCase","test_all_case","",""
"获取id509iVXKTRgttH账号成功","164","test_get_user_information_fail[test_get_user_information_fail_04]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取idNone账号成功","172","test_change_user_information_success[test_get_user_information_fail_01]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id684账号成功","173","test_get_user_information_fail[test_get_user_information_fail_10]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户fasdfasfa账号失败","111","test_create_user_fail[test_create_user_fail_02]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户wdf账号失败","105","test_create_user_fail[test_create_user_fail_03]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id509账号成功","162","test_get_user_information_success[test_get_user_information_success_04]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表失败","152","test_query_user_list_fail[test_query_user_list_fail_04]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id512账号成功","149","test_get_user_information_success[test_get_user_information_success_07]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户ok123账号成功","141","test_create_user_success[test_create_user_success_04]","testcases","2026-09-09","failed","2026-09-09","TestAllCase","test_all_case","",""
